,id,tweet
0,15923,"['q', 'wheres', 'server', 'dump', 'nike', 'declasfisa', 'democrats', 'support', 'antifa', 'muslim', 'brotherhood', 'ms', 'isis', 'pedophilia', 'child', 'trafficking', 'taxpayer', 'funded', 'abortion', '’', 'election', 'fraud', 'sedition', 'treason', 'lock', 'wwgwga', 'qanon', '\u2066', 'url']"
1,27014,"['constitution', 'day', 'revered', 'conservatives', 'hated', 'progressivessocialistdemocrats', 'want', 'change']"
2,30530,"['foxnews', 'nra', 'maga', 'potus', 'trump', 'nd', 'amendment', 'rnc', 'usmc', 'veterans', 'fakereporting', 'theswamp', 'dnc', 'liberals', 'fakeoutrage', 'first', 'reduces', 'ca', 'url']"
3,13876,"['watching', 'boomer', 'getting', 'news', 'still', 'parole', 'always', 'makes', 'smile', 'wentworth', 'finale', 'treasure', 'url']"
4,60133,"['pasaran', 'unity', 'demo', 'oppose', 'farright', 'london', '–', 'antifa', 'oct', '—', 'enough', 'enough', 'url']"
5,83681,"['fuck', 'time']"
6,96874,"['rap', 'form', 'art', 'used', 'express', 'freely', 'gv', 'green', 'light', 'excuse', 'behavior', 'acting', 'like', 'animal', 'streets', 'bx', 'violence', 'way', 'living', 'elevate', 'boo', 'get', 'level', 'longevity', 'queen', '👑']"
7,65507,"['get', 'feeling', 'kissing', 'behind', 'humiliate', 'later']"
8,78910,"['tips', 'enhance', 'audience', 'connection', 'facebook', 'url', 'socialmedia', 'smm', 'url']"
9,46363,"['bigg', 'boss', 'tamil', 'janani', 'task', 'going', 'first', 'final', 'list', '👏', '👏', '👏']"
10,68123,"['conservatives', 'party', 'low', 'taxation', '😂', 'tories', 'tory', 'url']"
11,22452,"['𝓒𝓒𝓮𝓭𝓻𝓪𝓷', 'nord', 'cannot', 'make', 'single', 'move', 'fully', 'aware', 'happening', 'chill', 'comes', 'spine', 'ghostly', 'rather', 'calm', 'female', 'voice', 'called', 'corner', 'room', 'even', 'time', 'attempt', 'response']"
12,15565,"['cons', 'place', 'fed', 'conservatives']"
