,id,tweet,subtask_a,subtask_b,subtask_c
0,86426,"['ask', 'native', 'american', 'take']",OFF,UNT,
1,90194,"['go', 'home', '’', 'drunk', 'maga', 'trump', '👊', '🇺', '🇸', '👊', 'url']",OFF,TIN,IND
2,16820,"['amazon', 'investigating', 'chinese', 'employee', 'selling', 'internal', 'data', 'thirdparty', 'seller', 'looking', 'edge', 'competitive', 'marketplace', 'url', 'amazon', 'maga', 'kag', 'china', 'tcot']",NOT,,
3,62688,"['someone', 'shouldve', 'taken', 'piece', 'shit', 'volcano', '😂']",OFF,UNT,
4,43605,"['obama', 'wanted', 'liberal', 'amp', 'illegals', 'move', 'red', 'state']",NOT,,
5,97670,"['liberal', 'kookoo']",OFF,TIN,OTH
6,77444,"['oh', 'no', 'tough', 'shit']",OFF,UNT,
7,52415,"['literally', 'talking', 'lol', 'mass', 'shooting', 'like', 'set', 'ups', '’', 'propaganda', 'used', 'divide', 'u', 'major', 'issue', 'like', 'gun', 'control', 'terrorism']",OFF,TIN,GRP
8,45157,"['buy', 'icecream']",NOT,,
9,13384,"['canada', '’', 'need', 'another', 'cuck', 'already', 'enough', 'looney', 'left', 'liberal', 'fking', 'great', 'country', 'qproofs', 'trudeau', 'must', 'go']",OFF,TIN,IND
10,82776,"['’', 'fault', 'support', 'gun', 'control']",NOT,,
11,42992,"['’', 'difference', 'kavanaugh', 'one', 'men', 'admitted', 'groping', 'year', 'old', 'girl', 'year', 'ago', 'going', 'confirmed', 'scj', 'demsare', 'fraud', 'dems', 'done', 'walk', 'away', 'democrat', 'redwave', 'vote', 'red', 'save', 'america', 'trumptrain', 'maga', 'url']",NOT,,
12,28414,"['lying', 'corrupt', 'traitor', 'nobody', 'want', 'hear', 'anymore', 'lie', 'deep', 'state', 'corruption', 'url']",OFF,TIN,IND
13,54920,"['scare', 'every', 'american', 'playing', 'hockey', 'warped', 'puck']",NOT,,
14,56392,"['like', 'soda', 'like', 'like', 'boarder', 'lot', 'ice']",NOT,,
15,86735,"['also', 'king', 'taste']",NOT,,
16,95686,"['maga', '🎶', 'sing', 'like', 'one', 'listening', '♥', '️', 'love', 'like', 'youve', 'never', 'hurt', '✔', '️', 'vote', 'gop', 'one', 'watching', '🙉', 'dont', 'listen', 'liberal', 'dirt', 'url']",NOT,,
17,71446,"['time', 'right', 'house', 'respond', 'concern', 'canadian', 'four', 'five', 'canadian', 'support', 'stronger', 'gun', 'control', 'good', 'reason', '”', 'guncontrol', 'cdnpoli', 'cdnhist']",NOT,,
18,23958,"['besides', 'jax', '’', 'mom', 'maybe', 'ope', 'hand', 'favorite', '’', 'like', 'good', 'person', 'show', '😂']",NOT,,
19,28195,"['gun', 'control', 'kid', 'asking']",OFF,TIN,OTH
20,56117,"['lol', 'throwing', 'bullshit', 'flag', 'nonsense', 'put', 'shut', 'kavanaugh', 'maga', 'call', 'vote', 'already', 'url']",OFF,TIN,IND
21,67757,['correct'],NOT,,
22,12681,"['kind', 'like', 'conservative', 'wanna', 'associate', 'everyone', 'left', 'communist', 'antifa', 'member']",OFF,TIN,GRP
23,82904,"['da', 'fuck', 'going', 'people', 'there', 'men', 'room', 'woman', 'room', 'pick', 'one', 'stick', 'w', '🤔']",OFF,TIN,GRP
24,63236,"['willie', 'fan', 'since', 'born', 'love', 'holding', 'rally', 'beto', 'exactly', 'fan', 'furious', 'could', 'give', 'specific', 'url']",NOT,,
25,77665,"['tbh', 'day', 'dont', 'like', 'people', 'general', 'dont', 'connect', 'people', 'day', 'annoyance']",OFF,TIN,IND
26,83484,"['south', 'korean', 'official', '“', 'leader', 'discus', 'specific', 'denuke', 'measure', 'pyongyang', '”', 'url', 'tcot', 'maga', 'red', 'nation', 'rising']",NOT,,
27,74932,"['tell', 'hooper']",NOT,,
28,91252,"['feel', 'like', 'better', 'chasing', 'title']",NOT,,
29,25440,"['referring', 'hillary', 'know', 'tiresome', 'bernie', 'supporter', 'bashing', 'hillary', 'clinton', 'actual', 'democrat', 'raise', 'money', 'democratic', 'party', '’', 'bash', 'positive', 'message', 'dividing', 'left']",OFF,UNT,
30,81613,"['glad', 'see', 'friend', 'supporting', 'metis', 'right', 'much', 'supporting', 'zionist', 'url']",NOT,,
31,82333,"['yes', 'asking', 'movie', '🤷', '\u200d', '♂', '️', '👀']",NOT,,
32,12609,"['thing', 'democrat', 'lying', 'stalling', 'stop', 'trump', 'president', 'done', 'lately', 'trump', 'kavanaugh', 'maga', 'demsuck']",OFF,TIN,GRP
33,13017,"['wonder', 'apologetic', 'social', 'day']",NOT,,
34,18129,"['update', 'ending', 'blatant', 'racism', 'windrush', 'amp', 'grenfell', 'prof', 'alloutpolitics', 'politicslive', 'pmqs', 'url']",NOT,,
35,70380,"['know', '’', 'going', 'happen', '’', 'going', 'lay', 'bed', 'cry', 'listen', 'kelly', 'clarkson', 'thanks', 'free', 'speech', 'antifa']",NOT,,
36,12108,"['smart', 'think', 'gen', 'flynn', '’', 'sentencing', 'keep', 'rescheduled', 'url']",OFF,TIN,IND
37,14726,"['thats', 'expected', 'placate', 'violent', 'leftiststerrorists', 'kavanaugh', 'confirmation', 'woke']",OFF,TIN,GRP
38,74358,"['blow', 'hard']",NOT,,
39,82599,"['mean', 'max', 'lvl', 'twitter', 'user', 'maybe', 'try', 'new', 'game']",NOT,,
40,40212,"['please', 'explain', 'controlled', 'opposition', 'mean', 'bernier', 'escaping', 'split', 'rest', 'conservative', 'he', 'even', 'racist', 'exclusionary', 'want']",NOT,,
41,78367,"['socialist', 'politics', 'stand', 'downtrodden', 'well', 'done', 'conflating', 'criticism', 'israel', 'anti', 'semitism', 'also', 'part', 'problem']",NOT,,
42,66596,"['nina', 'one', 'reason', 'didnt', 'read', 'book', 'long', 'worried', 'character', 'shouldve', 'trusted', 'everyone', 'nina', 'goddamn', 'goddess', 'would', 'die', 'thousand', 'time', 'big', 'bold', 'lovely', 'perfect', 'arc', 'perfect']",NOT,,
43,70999,"['please', 'vote', 'kavanaugh', 'fit', 'scotus', 'allegation', 'woman', 'shady', 'financials', 'disqualify', 'rule', 'law', 'matter', 'country', 'party', 'withdraw', 'kavanaugh', 'stop', 'kavanaugh']",NOT,,
44,36026,"['ppl', 'say', 'im', 'racist', 'racist', 'racist', 'repeat']",NOT,,
45,29439,"['kathy', 'patriot', '🗽', 'love', 'great', 'president', 'trump', 'spine', 'u', 'steel', 'changing', 'trade', 'amp', 'everything', 'american', 'americafirst', 'usa', 'maga', 'leadership', 'amp', 'respect', 'economy', 'job', 'peacethru', 'strength', 'god', 'bless', 'trump', 'amp', 'theusa', '😀', '🗽', '🗽', '🗽', '😀']",NOT,,
46,74477,"['wow', 'liberal', 'really', '’', 'sense', 'humor', '🙄']",NOT,,
47,49845,"['im', 'fucking', 'ready']",NOT,,
48,32305,"['holy', 'moly', 'catholic', 'people', 'havent', 'awakened', 'false', 'prophet', 'lunatic']",NOT,,
49,77243,"['lol', 'yeah', 'per', 'dina', 'everyday', 'per', 'claudia', 'horse', 'got', 'vet', 'care', 'unless', 'donation', 'example', 'limping', 'etc']",NOT,,
50,73205,"['surprise', 'antifa', 'blm', 'soros', 'america', 'worst', 'enemy', 'history', 'belief', 'way', 'take', 'usa', 'withing', 'he', 'right', 'gunna', 'happen']",NOT,,
51,47311,"['wedding', 'best', 'pretty']",NOT,,
52,48553,"['conflict', '—', '’', 'look', 'soros', 'involved', 'violent', 'left', 'agenda', 'antifa', 'also']",NOT,,
53,75689,"['url', 'announcement', 'every', 'come', 'fruition', 'basically', 'stealing', 'labour', 'idea', 'get', 'vote']",NOT,,
54,84102,"['british', 'people', 'basically', 'fullon', 'racist', 'voter', 'vote', 'conservative', 'coincidence']",OFF,TIN,GRP
55,10607,"['guncontrol', 'advocate', 'must', 'stop', 'falling', 'assure', 'electorate', 'love', 'horrific', 'url']",NOT,,
56,43913,"['hi', 'love', 'huge', 'fan', 'camila', 'mendes', 'would', 'alright', 'used', 'tweet', 'promotional', 'material']",NOT,,
57,98992,['fuck'],OFF,TIN,IND
58,92056,"['certainly', 'weird', 'view', 'toward', 'margaret', 'sanger', 'geonicidal', 'philosophy', 'aborting', 'minority', '’', 'like', 'know', 'black', 'population', 'suffers', 'share', 'opinion']",NOT,,
59,33853,"['prison', 'system', 'fucked', 'still', 'getting', 'away', 'potentially', 'murder', 'intent', 'prisoner', 'die', 'hurricane', 'louisiana', 'like', 'inmate', 'went', 'missing']",OFF,TIN,OTH
60,75215,"['useless', 'attempt', 'right', 'thing', 'never', 'follows']",OFF,TIN,IND
61,96218,"['walk', 'away', 'liberal', 'party', 'poison', 'url']",NOT,,
62,57013,"['grateful', 'trump', '’', 'dog', 'white', 'house', 'cruel', 'man']",OFF,TIN,IND
63,20883,"['lying', 'stick', 'fact', 'pay']",NOT,,
64,74831,"['trump', 'kick', 'dem', 'butt', 'fun']",OFF,TIN,IND
65,53264,"['dumb', 'dumber', 'one', 'president', 'two', 'one']",OFF,TIN,IND
66,28204,"['toxictory', 'minister', 'attempted', 'expense', '£', 'charity', 'donation', 'toriesmustgo', 'dissolve', 'union', 'url']",NOT,,
67,42024,"['ur', 'straight', 'forword', 'man', '👌', 'saw', 'u', 'dance', 'dewwane', 'ur', 'talk', 'free', 'ky', 'ap', 'kitnay', 'porrany', 'ho', 'industry', 'mein', 'really', 'like', 'ur', 'quality', 'u', 'even', 'gather', 'ur', 'senior', '💚', 'artist', 'love', 'manmarziyaan', '🤠', '👍']",NOT,,
68,84664,"['clown', 'prison']",OFF,TIN,IND
69,54842,"['twitter', 'silence', 'alex', 'jones', 'retaliation', 'asking', 'twitter', 'jack', 'question', 'url']",NOT,,
70,48995,"['thats', 'old', 'man']",OFF,TIN,IND
71,47153,"['obstructionist', 'antiamerican', 'pharisee', 'ask', 'running', 'get', 'nothing', 'maga']",OFF,TIN,OTH
72,76826,"['youre', 'notyoure', 'represent', 'alinskyite', 'orwellian', 'leftist', 'toolampfool', 'view', 'thingslike', 'marxistsampantifa', 'similar', 'upsst', 'bu', 'use', 'word', 'fascist', 'fascism', 'go', 'ahead', 'amp', 'read', 'dsouzas', 'book', 'big', 'lieright', 'u', 'know', 'squat', 'either']",NOT,,
73,27645,"['remember', 'somehow', 'centrist', 'antifahaters', 'never', 'quite', 'seem', 'bring', 'condemn', 'thing']",NOT,,
74,64429,"['mean', 'worked', 'gun', 'control', 'right', 'url']",OFF,TIN,GRP
75,20943,"['think', 'last', 'thing', 'wh', 'trump', 'mind', 'april', 'ryan', 'need', 'stop', 'flattering', 'shes', 'important', 'think']",NOT,,
76,78064,"['principled', 'conservative', 'hypocrickets']",NOT,,
77,14122,"['dont', 'forget', 'amp', 'democrat', 'backed', 'antifa']",NOT,,
78,72353,"['beautiful', 'person', 'teach', 'value', 'kid', 'teaching', 'royalty', 'keep', 'keep', 'going', 'head', 'stay', 'real', '❤', '️']",NOT,,
79,39051,"['bring', 'antifa', 'criminal', 'son', 'campaign']",NOT,,
